Query,RefSeq,AlignScore,PearsonAvg,EclideanAvg,Path
COV-CCO-035,target,3.39,0.8,1.04,"[(0, 12), (1, 13), (2, 14), (3, 15), (4, 16), (5, 17), (6, 18), (6, 19), (7, 20), (7, 21), (7, 22), (7, 23), (7, 24), (7, 25), (8, 26), (8, 27), (8, 28), (9, 29), (10, 30)]"
COV-CCO-079,target,3.13,0.75,1.44,"[(0, 12), (1, 13), (2, 14), (3, 15), (4, 16), (5, 17), (6, 18), (6, 19), (7, 20), (7, 21), (7, 22), (7, 23), (7, 24), (7, 25), (7, 26), (8, 27), (9, 28), (10, 29)]"
